Section,Product Name,Chemical Name / Description,CAS Number,Grade / Traceability,Product Code,Pack Size,HSN Code,GST %,Other / Notes
Fine & Research Chemicals,"A,a,’-Azoisobutyronitrile",,78-67-1,Synthesis,92589,100 G,29270000,18,
Fine & Research Chemicals,Acacia gum,,9000-01-5,LR,90698,500 G,13019019,18,
Fine & Research Chemicals,Acetaldehyde diethyl acetal,,105-57-5,GC,94091,100 ML,29110000,18,
Fine & Research Chemicals,Acetaldehyde solution 20-30%,,75-07-0,LR,93075,500 ML,29121200,18,
Fine & Research Chemicals,Acetamide,,60-35-5,GC,94093,100 G,29241900,18,
Fine & Research Chemicals,Acetamide,,60-35-5,Synthesis,93308,100 G,29241900,18,
Fine & Research Chemicals,"Acetanilide, 99%",,103-84-4,LR,90901,500 G,29242910,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,HPLC,90001,1 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,HPLC,90001,2.5 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,GC,94048,250 ML,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,GC,94048,500 ML,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,GC,94048,1 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,ACS,91647,500 ML,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,AR,90101,500 ML,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,AR,90101,2.5 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,DRYSOLV,90729,500 ML,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,LR,90301,500 ML,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,LR,90301,2.5 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial,,64-19-7,LN,94253,2.5 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial (0.2 M) solution,,64-19-7,Solution,97027,1 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial (2.0 M) solution,,64-19-7,Solution,97178,1 L,29152100,18,
Fine & Research Chemicals,Acetic acid glacial 6 M solution,,64-19-7,Solution,97184,500 ML,29152100,18,
Fine & Research Chemicals,Aceto carmine solution,,1390-65-4,Stain,94209,100 ML,32030090,18,
Fine & Research Chemicals,Acetoin 95%,,513-86-0,LR,92837,1 KG,29141990,18,
Fine & Research Chemicals,Acetone,,67-64-1,HPLC,90002,1 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,HPLC,90002,2.5 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,EL,90731,2.5 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,GC,94021,250 ML,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,GC,94021,500 ML,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,GC,94021,1 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,ACS,91601,500 ML,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,ACS,91601,1 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,AR,90102,500 ML,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,AR,90102,2.5 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,DRYSOLV,90894,500 ML,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,LR,90302,500 ML,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,LR,90302,1 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,LR,90302,2.5 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,LN,94254,1 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,LN,94254,2.5 L,29141100,18,
Fine & Research Chemicals,Acetone,,67-64-1,LCN™ (NMR Tested),94355,2.5 L,29141100,18,
Fine & Research Chemicals,Acetone cyanohydrin,,75-86-5,Synthesis,93391,500 ML,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,LC-MS,90005,1 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,LC-MS,90005,2.5 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,LC-MS,90005,4 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,Gradient Premium,90099,2.5 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,Gradient Premium,90099,4 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,Gradient,90004,1 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,Gradient,90004,2.5 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,HPLC,90003,1 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,HPLC,90003,2.5 L,29269000,18,
Fine & Research Chemicals,Acetonitrile,,75-05-8,HPLC,90003,4 L,29269000,18,
